Country,Assets and Resources Score,Actors and Stakeholders Score,Flows and Processes Score,Systems and Enviroments Score
BEL,0.007350470027104831,0.4047813176273,0.0009947422654005822,0.004498282201499963
DNK,0.255456546673981,0.3264357254107503,0.5166739491031263,0.5362498868215755
DEU,0.13783823838858414,0.5403292801626665,0.40270132219151605,0.0013549102686011068
GRC,0.19775359575399637,0.47788436177639937,0.17784278363870867,0.06579119239160601
ESP,0.10941821336271147,0.3536803365569649,0.2801749251919067,0.01393348050407249
FRA,0.1524132514480371,0.41881114866742164,0.2767423516658508,0.0019604335021323207
IRL,0.37712183435332913,0.4240376339483848,0.22944131842138552,0.026455880186024308
ITA,0.16411855140687093,0.383375666983171,0.3087006332348753,0.014279754115402601
LUX,0.31229798757166055,0.43823267216884576,0.445177195296185,0.043804012286181436
NLD,0.000599429995517566,0.3866130199283194,0.445,0.06136746593855319
AUT,0.15895910163458324,0.481568319747959,0.5348600608584911,0.058872983132427774
PRT,0.17750931769925105,0.3776414690253759,0.23272533691309608,0.05453889389073859
FIN,0.00739374854094779,0.4503830980902994,0.0019920440422253657,0.014863952533403406
SWE,0.041214764758787256,0.46412135092379314,0.015351121815506765,0.007633002506471719
GBR,0.18601187375019812,0.42098397502814544,0.27583891598157323,0.0012775635224979694
CYP,0.2516397121143996,0.42706593079183064,0.18557547708636007,0.04467999093485575
CY,0.2516397121143996,0.42799185671775647,0.18557547708636007,0.04467999093485575
CZE,0.052375064590841514,0.3580434771298266,0.25628497670334516,0.19231420870670002
HUN,0.4024656513347316,0.3349646404368739,0.1833265576993115,0.06397371837410705
LVA,0.3926842012124486,0.3255253300493818,0.2768625520660232,0.08745442154059235
LTU,0.007012909055893143,0.2432507978539798,0.03285518235693894,0.006357300245936681
MLT,0.13652223334120017,0.6590808646761861,0.09487598681269185,0.377738020688257
POL,0.13637848670344238,0.2899526318618895,0.13522677518626203,0.02985906586293141
SVK,0.22893824382400613,0.30296793829243945,0.20349092127135793,0.023315805592103788
SVN,0.24375980547312665,0.4139705685538965,0.3912385203734644,0.18351312166544095
BGR,0.4384470112297416,0.23522058420738165,0.35235781366597296,0.3073869783919567
HRV,0.16029216112660166,0.2443539455777622,0.21036637194577648,0.0933398286024157
ROU,0.2549324244343365,0.2911702111778629,0.2573908815676009,0.33682636950364797
SouthernEurope,0.10566691985233603,0.44645477163498815,0.19133597716693712,0.09516022208748875
WesternEurope,0.01261107618157561,0.4360097968765067,0.003472194719129916,0.02711759291835587
NorthernEurope,0.04069449165480563,0.413646724808281,0.0373193029607488,0.18624894728715022
EasternEurope,0.116646433330796,0.2967350870584575,0.04118180791903921,0.08436633268932485
