Country,Production Score,Processing Score,Distribution Score,Consumption Score,WasteManagment Score,Overal Score
BEL,0.36450487815608834,0.4646490591932787,0.3119286891608327,0.5224223426346984,0.1107871720116618,0.354858428231312
DNK,0.4201601933052118,0.39068463087475763,0.32379294569720996,0.4330612575362587,0.6686136669992923,0.4472625388825461
DEU,0.5667791153581138,0.750713129778684,0.30019655249169414,0.5006337200864956,0.6396255944195083,0.5515896224268991
GRC,0.38150937001915314,0.4659783188772704,0.32099875576368486,0.7500685279763943,0.2285406432518034,0.4294191231776613
ESP,0.3951963154052342,0.40025563823709603,0.3013831344240497,0.5491458147645631,0.438670695093536,0.41693031958489585
FRA,0.46828787309740433,0.5077600926469141,0.3050656942178066,0.6138415638546418,0.5087102200613453,0.48073308877562243
IRL,0.4840099912790908,0.6868178160690049,0.34813750496357043,0.669342265081076,0.4320533981999578,0.52407219511854
ITA,0.40485370887461464,0.3863417238321058,0.30721086842730777,0.5944092874745592,0.3865174379009947,0.41586660530191644
LUX,0.4482463733829144,0.7118956453452796,0.4149107019346496,0.6131430160008429,0.664744884956381,0.5705881243240135
NLD,0.411701467417877,0.457493432333575,0.30310470519902527,0.43407345699330696,0.12244897959183675,0.3457644083071242
AUT,0.658343727763593,0.8006773544494875,0.3980728703529675,0.6328447110763992,0.7219588856946767,0.6423795098674248
PRT,0.507328547627448,0.6339485101612793,0.2994602302928814,0.4742750139582971,0.3544339623627194,0.45388925288052506
FIN,0.5346540092883736,0.6942205741103342,0.3301162492808041,0.5426538418724743,0.14285714285714285,0.44890036348182577
SWE,0.4558966318825005,0.275740796407072,0.32456050472997217,0.6446829633043615,0.12827988338192417,0.3658321559411661
GBR,0.5036422824252313,0.6457908704739015,0.20137727481477166,0.5168500608478814,0.5201669095214199,0.4775654796166412
CYP,0.41932860251847015,0.46852708660839276,0.3787963607732764,0.7182306484230826,0.3289518382491284,0.46276690731447
CZE,0.42921101495935354,0.31434613349546664,0.32121211560018037,0.45969656260816827,0.27354364851514695,0.35960189503566314
HUN,0.2807072861368335,0.3849634954879818,0.20990179785960433,0.5073575799687426,0.29024701368929656,0.33463543462849177
LVA,0.435184529734971,0.3953877210369154,0.27320459621668836,0.40827356981240176,0.2994329687620204,0.3622966771125994
LTU,0.3259860738174105,0.27902620649321686,0.32757657582223676,0.391501723209436,0.0,0.26481811586846005
MLT,0.34516901629799795,0.6339458539199322,0.0,0.5891164351084366,0.17850407884581282,0.3493470768344359
POL,0.37203865852653767,0.35038377521096414,0.30302539643440707,0.4217036861552519,0.21060773269976804,0.3315518498053857
SVK,0.32427891246511886,0.2345901378801658,0.2521501109026233,0.5555641755295166,0.22822435603831379,0.31896153856314763
SVN,0.4680741798705027,0.3488618788339023,0.28050382305018423,0.5776292147621253,0.387543771191774,0.41252257354169763
BGR,0.26607772534575824,0.19217060927682353,0.32997405764961113,0.4488738569970167,0.3174067214831764,0.3109005941504772
HRV,0.41464304421036086,0.45434420616082327,0.3303905853420328,0.2397144044517908,0.26591596104028353,0.3410016402410582
ROU,0.46515209286023596,0.4069040588554698,0.3028949892886616,0.4776295250513631,0.24111161007680854,0.3787384552265078
SouthernEurope,0.3523267240624187,0.49816618860601275,0.1,0.6125409546175555,0.294880056163834,0.35158278468996423
WesternEurope,0.41459548234533394,0.6155314522912032,0.3214716028236842,0.5528264684410641,0.12244897959183675,0.40537479709862445
NorthernEurope,0.4612647843064561,0.45354866713072134,0.3212076561433497,0.5401326875710315,0.13022351797862006,0.38127546262603573
EasternEurope,0.3423528249139741,0.33166572906853947,0.21854609051183585,0.4275977506616394,0.053311120366513975,0.27469470310450056
